업종명,소속종목수,소속종목명,ROE,PER,PBR,DVR,PER_AVG,url
우주항공과국방,16,에이트원,-25.82,N/A,2.28,N/A,39.77,https://finance.naver.com/item/main.naver?code=230980
우주항공과국방,16,한화에어로스페이스 ,5.45,25.70,1.36,0.89,39.77,https://finance.naver.com/item/main.naver?code=012450
우주항공과국방,16,휴니드 ,1.26,74.91,0.86,N/A,39.77,https://finance.naver.com/item/main.naver?code=005870
우주항공과국방,16,한화시스템 ,0.86,161.22,1.36,1.01,39.77,https://finance.naver.com/item/main.naver?code=272210
우주항공과국방,16,아스트,-16.93,N/A,1.12,N/A,39.77,https://finance.naver.com/item/main.naver?code=067390
우주항공과국방,16,퍼스텍 ,-0.96,N/A,4.91,N/A,39.77,https://finance.naver.com/item/main.naver?code=010820
우주항공과국방,16,켄코아에어로스페이스,-65.30,N/A,7.75,N/A,39.77,https://finance.naver.com/item/main.naver?code=274090
우주항공과국방,16,아이쓰리시스템,6.94,28.42,1.87,0.50,39.77,https://finance.naver.com/item/main.naver?code=214430
우주항공과국방,16,LIG넥스원 ,18.86,15.62,2.62,1.14,39.77,https://finance.naver.com/item/main.naver?code=079550
우주항공과국방,16,한국항공우주 ,6.57,68.28,4.33,0.34,39.77,https://finance.naver.com/item/main.naver?code=047810
우주항공과국방,16,빅텍,4.74,65.15,2.96,0.47,39.77,https://finance.naver.com/item/main.naver?code=065450
우주항공과국방,16,쎄트렉아이,7.17,37.17,2.54,0.39,39.77,https://finance.naver.com/item/main.naver?code=099320
우주항공과국방,16,하이즈항공,-26.43,N/A,1.19,N/A,39.77,https://finance.naver.com/item/main.naver?code=221840
우주항공과국방,16,휴센텍,-105.92,N/A,5.72,N/A,39.77,https://finance.naver.com/item/main.naver?code=215090
우주항공과국방,16,어스앤에어로스페이스,1.45,191.23,10.04,N/A,39.77,https://finance.naver.com/item/main.naver?code=263540
우주항공과국방,16,제노코,20.76,30.25,5.74,0.19,39.77,https://finance.naver.com/item/main.naver?code=361390
건설,73,한미글로벌 ,11.75,12.70,1.22,2.51,7.03,https://finance.naver.com/item/main.naver?code=053690
건설,73,유신,16.30,7.17,1.09,2.15,7.03,https://finance.naver.com/item/main.naver?code=054930
건설,73,한신공영 ,6.97,3.38,0.23,2.63,7.03,https://finance.naver.com/item/main.naver?code=004960
건설,73,한국종합기술 ,8.05,8.47,0.63,1.14,7.03,https://finance.naver.com/item/main.naver?code=023350
건설,73,희림,11.93,19.33,2.01,1.58,7.03,https://finance.naver.com/item/main.naver?code=037440
건설,73,코리아에스이,-3.02,N/A,1.81,N/A,7.03,https://finance.naver.com/item/main.naver?code=101670
건설,73,특수건설,-5.03,N/A,1.74,N/A,7.03,https://finance.naver.com/item/main.naver?code=026150
건설,73,남광토건 ,23.48,5.68,1.19,N/A,7.03,https://finance.naver.com/item/main.naver?code=001260
건설,73,현대건설 ,7.87,9.64,0.72,1.23,7.03,https://finance.naver.com/item/main.naver?code=000720
건설,73,삼일기업공사,3.79,24.30,0.91,2.22,7.03,https://finance.naver.com/item/main.naver?code=002290
건설,73,도화엔지니어링 ,6.22,19.04,1.15,3.08,7.03,https://finance.naver.com/item/main.naver?code=002150
건설,73,우원개발,1.30,63.12,0.82,N/A,7.03,https://finance.naver.com/item/main.naver?code=046940
건설,73,SGC이테크건설,38.80,1.57,0.50,2.42,7.03,https://finance.naver.com/item/main.naver?code=016250
건설,73,한양이엔지,13.29,4.99,0.60,3.64,7.03,https://finance.naver.com/item/main.naver?code=045100
건설,73,동아지질 ,-1.47,N/A,1.02,1.99,7.03,https://finance.naver.com/item/main.naver?code=028100
건설,73,금화피에스시,8.43,8.13,0.65,4.14,7.03,https://finance.naver.com/item/main.naver?code=036190
건설,73,태영건설우 ,7.51,7.66,0.56,3.56,7.03,https://finance.naver.com/item/main.naver?code=009415
건설,73,태영건설 ,7.51,5.11,0.38,5.26,7.03,https://finance.naver.com/item/main.naver?code=009410
건설,73,한라 ,24.64,1.99,0.45,2.41,7.03,https://finance.naver.com/item/main.naver?code=014790
건설,73,현대건설우 ,7.87,14.40,1.08,0.89,7.03,https://finance.naver.com/item/main.naver?code=000725
건설,73,성도이엔지,9.75,3.49,0.29,2.75,7.03,https://finance.naver.com/item/main.naver?code=037350
건설,73,DL이앤씨우 ,12.75,2.45,0.29,4.60,7.03,https://finance.naver.com/item/main.naver?code=37550K
건설,73,신세계건설 ,7.13,6.76,0.48,3.23,7.03,https://finance.naver.com/item/main.naver?code=034300
건설,73,이화공영,-15.26,N/A,2.71,N/A,7.03,https://finance.naver.com/item/main.naver?code=001840
건설,73,계룡건설 ,17.39,1.84,0.30,3.35,7.03,https://finance.naver.com/item/main.naver?code=013580
건설,73,DL이앤씨 ,12.75,3.45,0.41,3.21,7.03,https://finance.naver.com/item/main.naver?code=375500
건설,73,삼호개발 ,6.34,7.64,0.43,4.49,7.03,https://finance.naver.com/item/main.naver?code=010960
건설,73,대우건설 ,12.98,5.31,0.63,N/A,7.03,https://finance.naver.com/item/main.naver?code=047040
건설,73,서한,,2.79,0.35,2.98,7.03,https://finance.naver.com/item/main.naver?code=011370
건설,73,동신건설,2.01,100.00,2.00,0.74,7.03,https://finance.naver.com/item/main.naver?code=025950
건설,73,삼성엔지니어링 ,20.58,11.02,2.02,N/A,7.03,https://finance.naver.com/item/main.naver?code=028050
건설,73,금호건설 ,18.31,3.31,0.55,9.26,7.03,https://finance.naver.com/item/main.naver?code=002990
건설,73,KCC건설,8.88,3.94,0.31,2.58,7.03,https://finance.naver.com/item/main.naver?code=021320
건설,73,GS건설 ,10.44,5.46,0.54,4.21,7.03,https://finance.naver.com/item/main.naver?code=006360
건설,73,삼부토건 ,0.71,183.64,1.31,N/A,7.03,https://finance.naver.com/item/main.naver?code=001470
건설,73,KT서브마린,-2.33,N/A,1.42,0.44,7.03,https://finance.naver.com/item/main.naver?code=060370
건설,73,DL이앤씨2우(전환) ,12.75,2.79,0.33,N/A,7.03,https://finance.naver.com/item/main.naver?code=37550L
건설,73,코오롱글로벌 ,24.05,3.19,0.69,2.72,7.03,https://finance.naver.com/item/main.naver?code=003070
건설,73,남화토건,9.45,6.54,0.59,1.94,7.03,https://finance.naver.com/item/main.naver?code=091590
건설,73,DL건설 ,11.82,4.39,0.49,3.67,7.03,https://finance.naver.com/item/main.naver?code=001880
건설,73,HJ중공업 ,-30.24,N/A,1.31,N/A,7.03,https://finance.naver.com/item/main.naver?code=097230
건설,73,우진아이엔에스 ,-2.30,N/A,0.46,1.56,7.03,https://finance.naver.com/item/main.naver?code=010400
건설,73,세보엠이씨,12.42,4.60,0.52,2.82,7.03,https://finance.naver.com/item/main.naver?code=011560
건설,73,HDC현대산업개발 ,-0.08,N/A,0.29,4.78,7.03,https://finance.naver.com/item/main.naver?code=294870
건설,73,일성건설 ,4.61,36.70,1.55,0.87,7.03,https://finance.naver.com/item/main.naver?code=013360
건설,73,이엔코퍼레이션,9.08,12.40,1.14,N/A,7.03,https://finance.naver.com/item/main.naver?code=066980
건설,73,아이에스동서 ,17.95,5.16,0.85,3.20,7.03,https://finance.naver.com/item/main.naver?code=010780
건설,73,서희건설,16.13,3.29,0.47,3.32,7.03,https://finance.naver.com/item/main.naver?code=035890
건설,73,동부건설우 ,19.10,6.26,1.12,3.42,7.03,https://finance.naver.com/item/main.naver?code=005965
건설,73,진흥기업2우B ,24.10,51.79,11.16,N/A,7.03,https://finance.naver.com/item/main.naver?code=002787
건설,73,상지카일룸,-45.73,N/A,1.12,N/A,7.03,https://finance.naver.com/item/main.naver?code=042940
건설,73,코오롱글로벌우 ,24.05,5.48,1.19,1.75,7.03,https://finance.naver.com/item/main.naver?code=003075
건설,73,웰크론,7.03,18.45,1.25,1.45,7.03,https://finance.naver.com/item/main.naver?code=065950
건설,73,신원종합개발,9.04,10.18,0.83,N/A,7.03,https://finance.naver.com/item/main.naver?code=017000
건설,73,금호건설우 ,18.31,10.49,1.75,3.11,7.03,https://finance.naver.com/item/main.naver?code=002995
건설,73,진흥기업우B ,24.10,19.61,4.23,N/A,7.03,https://finance.naver.com/item/main.naver?code=002785
건설,73,KD,-48.95,N/A,0.66,N/A,7.03,https://finance.naver.com/item/main.naver?code=044180
건설,73,HDC ,0.64,27.63,0.16,3.63,7.03,https://finance.naver.com/item/main.naver?code=012630
건설,73,그린플러스,-1.41,N/A,2.53,N/A,7.03,https://finance.naver.com/item/main.naver?code=186230
건설,73,동원개발,,5.12,0.35,3.92,7.03,https://finance.naver.com/item/main.naver?code=013120
건설,73,동부건설 ,19.10,2.44,0.44,8.30,7.03,https://finance.naver.com/item/main.naver?code=005960
건설,73,대원,10.25,3.56,0.34,3.57,7.03,https://finance.naver.com/item/main.naver?code=007680
건설,73,진흥기업 ,24.10,5.93,1.28,N/A,7.03,https://finance.naver.com/item/main.naver?code=002780
건설,73,자이에스앤디 ,,4.50,0.86,2.50,7.03,https://finance.naver.com/item/main.naver?code=317400
건설,73,HDC랩스 ,4.50,20.28,0.79,5.20,7.03,https://finance.naver.com/item/main.naver?code=039570
건설,73,에쓰씨엔지니어링 ,,N/A,2.12,N/A,7.03,https://finance.naver.com/item/main.naver?code=023960
건설,73,화성산업 ,8.10,6.57,0.42,6.33,7.03,https://finance.naver.com/item/main.naver?code=002460
건설,73,범양건영 ,9.20,14.17,1.25,N/A,7.03,https://finance.naver.com/item/main.naver?code=002410
건설,73,국보디자인,9.97,6.56,0.52,1.98,7.03,https://finance.naver.com/item/main.naver?code=066620
건설,73,셀루메드,22.51,21.23,4.35,N/A,7.03,https://finance.naver.com/item/main.naver?code=049180
건설,73,웰크론한텍,-5.21,N/A,1.28,N/A,7.03,https://finance.naver.com/item/main.naver?code=076080
건설,73,까뮤이앤씨 ,-3.35,N/A,1.02,0.90,7.03,https://finance.naver.com/item/main.naver?code=013700
건설,73,일진파워,15.35,17.61,2.55,1.63,7.03,https://finance.naver.com/item/main.naver?code=094820
전기장비,28,제룡전기,1.89,128.43,2.44,0.56,19.47,https://finance.naver.com/item/main.naver?code=033100
전기장비,28,지투파워,,245.92,7.44,N/A,19.47,https://finance.naver.com/item/main.naver?code=388050
전기장비,28,제일전기공업,10.51,12.24,1.24,2.34,19.47,https://finance.naver.com/item/main.naver?code=199820
전기장비,28,대한전선 ,6.60,50.39,2.81,N/A,19.47,https://finance.naver.com/item/main.naver?code=001440
전기장비,28,현대일렉트릭 ,-6.91,N/A,1.77,N/A,19.47,https://finance.naver.com/item/main.naver?code=267260
전기장비,28,지엔씨에너지,4.83,17.40,0.78,1.09,19.47,https://finance.naver.com/item/main.naver?code=119850
전기장비,28,광명전기 ,5.73,20.39,1.14,0.34,19.47,https://finance.naver.com/item/main.naver?code=017040
전기장비,28,세명전기,1.15,70.45,0.81,1.81,19.47,https://finance.naver.com/item/main.naver?code=017510
전기장비,28,제룡산업,11.97,8.68,1.00,3.03,19.47,https://finance.naver.com/item/main.naver?code=147830
전기장비,28,LS ,9.08,6.74,0.51,2.16,19.47,https://finance.naver.com/item/main.naver?code=006260
전기장비,28,일진전기 ,5.63,11.90,0.65,1.70,19.47,https://finance.naver.com/item/main.naver?code=103590
전기장비,28,대원전선 ,6.81,18.84,1.24,N/A,19.47,https://finance.naver.com/item/main.naver?code=006340
전기장비,28,비츠로테크,3.89,24.12,0.91,0.70,19.47,https://finance.naver.com/item/main.naver?code=042370
전기장비,28,대원전선우 ,6.81,32.56,2.15,N/A,19.47,https://finance.naver.com/item/main.naver?code=006345
전기장비,28,범한퓨얼셀,,82.43,3.24,N/A,19.47,https://finance.naver.com/item/main.naver?code=382900
전기장비,28,대한광통신,-36.68,N/A,1.99,N/A,19.47,https://finance.naver.com/item/main.naver?code=010170
전기장비,28,KBI메탈,10.62,5.50,0.55,N/A,19.47,https://finance.naver.com/item/main.naver?code=024840
전기장비,28,효성중공업 ,1.69,44.44,0.75,N/A,19.47,https://finance.naver.com/item/main.naver?code=298040
전기장비,28,이화전기,10.74,3.41,0.32,N/A,19.47,https://finance.naver.com/item/main.naver?code=024810
전기장비,28,선도전기 ,-21.63,N/A,0.81,N/A,19.47,https://finance.naver.com/item/main.naver?code=007610
전기장비,28,피앤씨테크,4.36,14.53,0.62,N/A,19.47,https://finance.naver.com/item/main.naver?code=237750
전기장비,28,가온전선 ,4.39,7.78,0.32,1.88,19.47,https://finance.naver.com/item/main.naver?code=000500
전기장비,28,LS ELECTRIC ,6.27,18.82,1.12,1.72,19.47,https://finance.naver.com/item/main.naver?code=010120
전기장비,28,일진홀딩스 ,6.06,13.30,0.64,2.53,19.47,https://finance.naver.com/item/main.naver?code=015860
전기장비,28,LS전선아시아 ,9.04,16.97,1.41,3.17,19.47,https://finance.naver.com/item/main.naver?code=229640
전기장비,28,비나텍,24.82,24.08,5.19,N/A,19.47,https://finance.naver.com/item/main.naver?code=126340
전기장비,28,보성파워텍,-0.95,N/A,3.45,N/A,19.47,https://finance.naver.com/item/main.naver?code=006910
전기장비,28,서전기전,-5.84,N/A,2.58,N/A,19.47,https://finance.naver.com/item/main.naver?code=189860
전자제품,18,LG전자 ,10.13,9.86,0.90,0.85,13.75,https://finance.naver.com/item/main.naver?code=066570
전자제품,18,LG전자우 ,10.13,4.66,0.43,1.89,13.75,https://finance.naver.com/item/main.naver?code=066575
전자제품,18,모바일어플라이언스,4.86,56.09,2.66,N/A,13.75,https://finance.naver.com/item/main.naver?code=087260
전자제품,18,에이디칩스,,N/A,0.78,N/A,13.75,https://finance.naver.com/item/main.naver?code=054630
전자제품,18,경인전자 ,7.80,8.97,0.54,0.93,13.75,https://finance.naver.com/item/main.naver?code=009140
전자제품,18,가온미디어,14.17,4.95,0.63,1.26,13.75,https://finance.naver.com/item/main.naver?code=078890
전자제품,18,아남전자 ,23.28,9.96,1.97,N/A,13.75,https://finance.naver.com/item/main.naver?code=008700
전자제품,18,휴맥스,-11.40,N/A,0.56,N/A,13.75,https://finance.naver.com/item/main.naver?code=115160
전자제품,18,휴맥스홀딩스,-16.56,N/A,0.34,N/A,13.75,https://finance.naver.com/item/main.naver?code=028080
전자제품,18,삼진,9.22,6.54,0.57,1.14,13.75,https://finance.naver.com/item/main.naver?code=032750
전자제품,18,TJ미디어,4.37,24.84,1.06,0.97,13.75,https://finance.naver.com/item/main.naver?code=032540
전자제품,18,파이버프로,,43.04,4.68,N/A,13.75,https://finance.naver.com/item/main.naver?code=368770
전자제품,18,탑코미디어,,N/A,3.89,N/A,13.75,https://finance.naver.com/item/main.naver?code=134580
전자제품,18,파인디지털,0.70,88.39,0.49,0.91,13.75,https://finance.naver.com/item/main.naver?code=038950
전자제품,18,팅크웨어,3.16,38.70,1.15,N/A,13.75,https://finance.naver.com/item/main.naver?code=084730
전자제품,18,알로이스,26.82,9.60,2.26,N/A,13.75,https://finance.naver.com/item/main.naver?code=297570
전자제품,18,KH 전자,5.25,8.48,0.41,N/A,13.75,https://finance.naver.com/item/main.naver?code=111870
전자제품,18,홈캐스트,,5.58,1.36,N/A,13.75,https://finance.naver.com/item/main.naver?code=064240
항공사,10,한진칼 ,43.45,5.09,1.81,N/A,33.95,https://finance.naver.com/item/main.naver?code=180640
항공사,10,한진칼우 ,43.45,2.81,1.00,N/A,33.95,https://finance.naver.com/item/main.naver?code=18064K
항공사,10,진에어 ,-143.73,N/A,7.75,N/A,33.95,https://finance.naver.com/item/main.naver?code=272450
항공사,10,대한항공 ,21.32,6.16,1.27,N/A,33.95,https://finance.naver.com/item/main.naver?code=003490
항공사,10,대한항공우 ,21.32,7.62,1.57,N/A,33.95,https://finance.naver.com/item/main.naver?code=003495
항공사,10,에어부산 ,-402.37,N/A,4.08,N/A,33.95,https://finance.naver.com/item/main.naver?code=298690
항공사,10,티웨이항공 ,-154.06,N/A,4.39,N/A,33.95,https://finance.naver.com/item/main.naver?code=091810
항공사,10,제주항공 ,-236.74,N/A,5.96,N/A,33.95,https://finance.naver.com/item/main.naver?code=089590
항공사,10,아시아나항공 ,-58.18,N/A,4.04,N/A,33.95,https://finance.naver.com/item/main.naver?code=020560
항공사,10,티웨이홀딩스 ,86.33,1.20,0.34,N/A,33.95,https://finance.naver.com/item/main.naver?code=004870
에너지장비및서비스,22,에스에너지,-26.06,N/A,1.36,N/A,87.54,https://finance.naver.com/item/main.naver?code=095910
에너지장비및서비스,22,에코바이오,5.92,19.61,1.13,N/A,87.54,https://finance.naver.com/item/main.naver?code=038870
에너지장비및서비스,22,현대에너지솔루션 ,3.83,56.58,2.12,N/A,87.54,https://finance.naver.com/item/main.naver?code=322000
에너지장비및서비스,22,SDN,-4.32,N/A,1.64,N/A,87.54,https://finance.naver.com/item/main.naver?code=099220
에너지장비및서비스,22,스페코,-4.91,N/A,2.11,0.76,87.54,https://finance.naver.com/item/main.naver?code=013810
에너지장비및서비스,22,대명에너지,,17.15,7.21,N/A,41.78,https://finance.naver.com/item/main.naver?code=389260
에너지장비및서비스,22,KG케미칼 ,31.30,2.18,0.58,1.74,87.54,https://finance.naver.com/item/main.naver?code=001390
에너지장비및서비스,22,씨에스윈드 ,1.94,165.78,3.28,0.88,87.54,https://finance.naver.com/item/main.naver?code=112610
에너지장비및서비스,22,서남,-22.53,N/A,6.57,N/A,87.54,https://finance.naver.com/item/main.naver?code=294630
에너지장비및서비스,22,SGC에너지 ,13.30,7.05,0.88,4.01,87.54,https://finance.naver.com/item/main.naver?code=005090
에너지장비및서비스,22,지엔원에너지,-2.99,N/A,3.15,N/A,87.54,https://finance.naver.com/item/main.naver?code=270520
에너지장비및서비스,22,태웅,0.47,115.77,0.55,N/A,87.54,https://finance.naver.com/item/main.naver?code=044490
에너지장비및서비스,22,비에이치아이,-40.11,N/A,3.74,N/A,87.54,https://finance.naver.com/item/main.naver?code=083650
에너지장비및서비스,22,비디아이,-308.59,N/A,1.30,N/A,87.54,https://finance.naver.com/item/main.naver?code=148140
에너지장비및서비스,22,대한그린파워,-18.83,N/A,3.19,N/A,87.54,https://finance.naver.com/item/main.naver?code=060900
에너지장비및서비스,22,플래스크,-18.97,N/A,2.47,N/A,87.54,https://finance.naver.com/item/main.naver?code=041590
에너지장비및서비스,22,파루,-13.05,N/A,1.85,N/A,87.54,https://finance.naver.com/item/main.naver?code=043200
에너지장비및서비스,22,윌링스,1.60,99.12,1.60,0.71,87.54,https://finance.naver.com/item/main.naver?code=313760
에너지장비및서비스,22,유니슨,-6.69,N/A,4.54,N/A,87.54,https://finance.naver.com/item/main.naver?code=018000
에너지장비및서비스,22,제이씨케미칼,29.20,5.03,1.28,1.76,87.54,https://finance.naver.com/item/main.naver?code=137950
에너지장비및서비스,22,수산인더스트리 ,,6.43,1.22,1.18,87.54,https://finance.naver.com/item/main.naver?code=126720
에너지장비및서비스,22,오르비텍,-10.75,N/A,3.19,N/A,87.54,https://finance.naver.com/item/main.naver?code=046120
조선,25,케이에스피,9.45,38.26,3.43,N/A,6.67,https://finance.naver.com/item/main.naver?code=073010
조선,25,메디콕스,-44.26,N/A,1.60,N/A,6.67,https://finance.naver.com/item/main.naver?code=054180
조선,25,현대중공업 ,-13.61,N/A,2.46,N/A,6.67,https://finance.naver.com/item/main.naver?code=329180
조선,25,오리엔탈정공,5.27,44.88,2.14,N/A,6.67,https://finance.naver.com/item/main.naver?code=014940
조선,25,세진중공업 ,-4.56,N/A,3.01,1.75,6.67,https://finance.naver.com/item/main.naver?code=075580
조선,25,STX중공업 ,5.14,18.12,0.96,N/A,6.67,https://finance.naver.com/item/main.naver?code=071970
조선,25,STX엔진 ,0.82,223.75,1.77,N/A,6.67,https://finance.naver.com/item/main.naver?code=077970
조선,25,일승,,N/A,5.71,N/A,6.67,https://finance.naver.com/item/main.naver?code=333430
조선,25,한국카본 ,2.58,65.15,1.63,1.00,6.67,https://finance.naver.com/item/main.naver?code=017960
조선,25,케이프,14.21,5.85,0.78,1.95,6.67,https://finance.naver.com/item/main.naver?code=064820
조선,25,에스앤더블류,-0.27,N/A,0.47,N/A,6.67,https://finance.naver.com/item/main.naver?code=103230
조선,25,현대미포조선 ,-1.92,N/A,2.05,N/A,6.67,https://finance.naver.com/item/main.naver?code=010620
조선,25,삼성중공업 ,-16.90,N/A,1.24,N/A,6.67,https://finance.naver.com/item/main.naver?code=010140
조선,25,삼강엠앤티,-30.33,N/A,6.45,N/A,6.67,https://finance.naver.com/item/main.naver?code=100090
조선,25,한국조선해양 ,-6.92,N/A,0.73,N/A,6.67,https://finance.naver.com/item/main.naver?code=009540
조선,25,삼성중공우 ,-16.90,N/A,45.38,N/A,6.67,https://finance.naver.com/item/main.naver?code=010145
조선,25,상상인인더스트리,-34.51,N/A,2.33,N/A,6.67,https://finance.naver.com/item/main.naver?code=101000
조선,25,인화정공,1.26,67.71,0.85,N/A,6.67,https://finance.naver.com/item/main.naver?code=101930
조선,25,한라IMS,9.42,12.78,1.11,1.67,6.67,https://finance.naver.com/item/main.naver?code=092460
조선,25,동방선기,3.44,53.52,1.81,N/A,6.67,https://finance.naver.com/item/main.naver?code=099410
조선,25,대우조선해양 ,-53.69,N/A,1.46,N/A,6.67,https://finance.naver.com/item/main.naver?code=042660
조선,25,HSD엔진 ,-35.14,N/A,4.03,N/A,6.67,https://finance.naver.com/item/main.naver?code=082740
조선,25,대양전기공업,2.02,31.98,0.62,0.67,6.67,https://finance.naver.com/item/main.naver?code=108380
조선,25,삼영이엔씨,-1.62,N/A,1.11,N/A,6.67,https://finance.naver.com/item/main.naver?code=065570
조선,25,삼영엠텍,-14.44,N/A,0.97,1.27,6.67,https://finance.naver.com/item/main.naver?code=054540
무역회사와판매업체,5,LX인터내셔널 ,29.12,3.13,0.72,5.44,6.02,https://finance.naver.com/item/main.naver?code=001120
무역회사와판매업체,5,현대코퍼레이션 ,19.18,3.55,0.55,3.14,6.02,https://finance.naver.com/item/main.naver?code=011760
무역회사와판매업체,5,STX ,11.56,17.03,1.33,N/A,6.02,https://finance.naver.com/item/main.naver?code=011810
무역회사와판매업체,5,포스코인터내셔널 ,15.00,6.42,0.90,2.89,6.02,https://finance.naver.com/item/main.naver?code=047050
무역회사와판매업체,5,GS글로벌 ,13.50,7.14,0.87,N/A,6.02,https://finance.naver.com/item/main.naver?code=001250
레저용장비와제품,10,알톤스포츠,3.26,58.90,1.87,N/A,3.87,https://finance.naver.com/item/main.naver?code=123750
레저용장비와제품,10,이녹스,31.55,4.08,1.06,N/A,3.87,https://finance.naver.com/item/main.naver?code=088390
레저용장비와제품,10,손오공,-4.28,N/A,2.66,N/A,3.87,https://finance.naver.com/item/main.naver?code=066910
레저용장비와제품,10,삼천리자전거,-2.31,N/A,0.98,1.88,3.87,https://finance.naver.com/item/main.naver?code=024950
레저용장비와제품,10,오로라,11.05,6.86,0.68,1.42,3.87,https://finance.naver.com/item/main.naver?code=039830
레저용장비와제품,10,골프존뉴딘홀딩스,26.50,2.05,0.48,2.04,3.87,https://finance.naver.com/item/main.naver?code=121440
레저용장비와제품,10,삼익악기 ,-2.88,N/A,0.43,3.46,3.87,https://finance.naver.com/item/main.naver?code=002450
레저용장비와제품,10,브이씨,,8.84,1.64,N/A,3.87,https://finance.naver.com/item/main.naver?code=365900
레저용장비와제품,10,블리츠웨이,,N/A,3.14,N/A,3.87,https://finance.naver.com/item/main.naver?code=369370
레저용장비와제품,10,헝셩그룹,0.78,11.47,0.09,N/A,3.87,https://finance.naver.com/item/main.naver?code=900270
전문소매,6,도이치모터스,13.33,6.01,0.75,4.28,302.42,https://finance.naver.com/item/main.naver?code=067990
전문소매,6,케이카 ,15.66,29.37,4.16,3.49,302.42,https://finance.naver.com/item/main.naver?code=381970
전문소매,6,위즈코프,-11.24,N/A,0.91,N/A,302.42,https://finance.naver.com/item/main.naver?code=038620
전문소매,6,롯데하이마트 ,-5.80,N/A,0.21,6.08,302.42,https://finance.naver.com/item/main.naver?code=071840
전문소매,6,위니아에이드,,3.69,0.74,N/A,302.42,https://finance.naver.com/item/main.naver?code=377460
전문소매,6,세기상사 ,-10.85,N/A,2.01,N/A,302.42,https://finance.naver.com/item/main.naver?code=002420
가스유틸리티,12,지에스이,7.23,35.58,2.38,0.56,5.84,https://finance.naver.com/item/main.naver?code=053050
가스유틸리티,12,대성에너지 ,3.99,32.37,1.27,1.65,5.84,https://finance.naver.com/item/main.naver?code=117580
가스유틸리티,12,경동도시가스 ,7.91,5.00,0.38,3.42,5.84,https://finance.naver.com/item/main.naver?code=267290
가스유틸리티,12,한국가스공사 ,15.59,3.08,0.41,5.94,5.84,https://finance.naver.com/item/main.naver?code=036460
가스유틸리티,12,인천도시가스 ,6.04,10.62,0.59,4.37,5.84,https://finance.naver.com/item/main.naver?code=034590
가스유틸리티,12,한진중공업홀딩스 ,0.67,56.53,0.33,2.36,5.84,https://finance.naver.com/item/main.naver?code=003480
가스유틸리티,12,E1 ,6.46,3.81,0.20,4.62,5.84,https://finance.naver.com/item/main.naver?code=017940
가스유틸리티,12,예스코홀딩스 ,0.75,46.65,0.30,6.47,5.84,https://finance.naver.com/item/main.naver?code=015360
가스유틸리티,12,삼천리 ,5.44,11.42,0.51,1.42,5.84,https://finance.naver.com/item/main.naver?code=004690
가스유틸리티,12,서울가스 ,1.93,64.00,0.95,0.68,5.84,https://finance.naver.com/item/main.naver?code=017390
가스유틸리티,12,대성홀딩스 ,4.59,62.20,2.93,0.28,5.84,https://finance.naver.com/item/main.naver?code=016710
가스유틸리티,12,SK가스 ,10.99,4.82,0.49,4.16,5.84,https://finance.naver.com/item/main.naver?code=018670
반도체와반도체장비,134,엔투텍,-36.87,N/A,1.18,N/A,8.13,https://finance.naver.com/item/main.naver?code=227950
반도체와반도체장비,134,마이크로컨텍솔,18.84,7.92,1.37,0.42,8.13,https://finance.naver.com/item/main.naver?code=098120
반도체와반도체장비,134,오킨스전자,6.20,191.45,11.03,N/A,8.13,https://finance.naver.com/item/main.naver?code=080580
반도체와반도체장비,134,에이티세미콘,-110.22,N/A,1.37,N/A,8.13,https://finance.naver.com/item/main.naver?code=089530
반도체와반도체장비,134,에이팩트,7.66,19.24,1.32,N/A,8.13,https://finance.naver.com/item/main.naver?code=200470
반도체와반도체장비,134,DB하이텍 ,46.17,3.91,1.44,0.97,8.13,https://finance.naver.com/item/main.naver?code=000990
반도체와반도체장비,134,아이텍,-1.38,N/A,1.43,N/A,8.13,https://finance.naver.com/item/main.naver?code=119830
반도체와반도체장비,134,신성이엔지 ,-1.31,N/A,2.72,N/A,8.13,https://finance.naver.com/item/main.naver?code=011930
반도체와반도체장비,134,원익QnC,21.04,11.56,2.18,0.56,8.13,https://finance.naver.com/item/main.naver?code=074600
반도체와반도체장비,134,아이윈플러스,-17.55,N/A,2.32,N/A,8.13,https://finance.naver.com/item/main.naver?code=123010
반도체와반도체장비,134,예스티,-14.03,N/A,2.10,N/A,8.13,https://finance.naver.com/item/main.naver?code=122640
반도체와반도체장비,134,인텍플러스,58.67,9.63,4.36,1.05,8.13,https://finance.naver.com/item/main.naver?code=064290
반도체와반도체장비,134,HPSP,,30.09,15.08,N/A,8.13,https://finance.naver.com/item/main.naver?code=403870
반도체와반도체장비,134,알파홀딩스,-21.75,N/A,0.41,N/A,8.13,https://finance.naver.com/item/main.naver?code=117670
반도체와반도체장비,134,테크윙,14.45,9.53,1.28,1.56,8.13,https://finance.naver.com/item/main.naver?code=089030
반도체와반도체장비,134,에이피티씨,41.35,9.01,3.04,6.84,8.13,https://finance.naver.com/item/main.naver?code=089970
반도체와반도체장비,134,미래산업 ,10.80,5.09,0.48,N/A,8.13,https://finance.naver.com/item/main.naver?code=025560
반도체와반도체장비,134,월덱스,24.85,10.21,2.25,0.29,8.13,https://finance.naver.com/item/main.naver?code=101160
반도체와반도체장비,134,제너셈,,7.73,1.72,N/A,8.13,https://finance.naver.com/item/main.naver?code=217190
